0	0	4 5 6 7
1	0	2 3 8 9
2	0	1 2 9 10
3	0	0 3 8 11
4	0	0 1 10 11
5	0	1 4 7 10
6	0	0 5 6 11
7	0	3 4 7 8
8	0	2 5 6 9
9	0	4 5 6 7
10	0	1 8 3 10
11	0	0 9 2 11
12	0	0 1 10 11
13	0	0 3 8 11
14	0	1 2 9 10
15	0	2 3 8 9
16	0	0 8 12 12
17	0	1 9 12 12
18	0	2 11 4 5
19	0	3 10 4 5
20	0	5 9 7 11
21	0	4 8 6 10
22	0	2 5 6 9
23	0	3 4 7 8
24	0	0 6 2 4
25	0	1 7 3 5
26	0	0 5 6 11
27	0	1 4 7 10
28	0	0 1 8 9
29	0	2 3 10 11
30	0	0 3 9 10
31	0	1 2 8 11
32	0	1 4 6 11
33	0	0 5 7 10
34	0	4 5 10 11
35	0	0 1 6 7
36	0	3 11 12 12
37	0	2 10 12 12
38	0	0 1 10 11
39	0	3 11 12 12
40	0	2 10 12 12
41	0	4 8 6 10
42	0	5 9 7 11
43	0	5 7 9 11
44	0	4 6 8 10
45	0	0 1 6 7
46	0	3 5 7 9
47	0	2 4 6 8
48	0	3 4 6 9
49	0	2 5 7 8
50	0	1 5 7 11
51	0	0 4 6 10
52	0	2 11 8 9
53	0	3 10 8 9
54	0	5 10 6 9
55	0	4 11 7 8
56	0	0 8 12 12
57	0	1 9 12 12
58	0	1 8 10 11
59	0	0 9 10 11
60	0	0 5 3 6
61	0	1 4 2 7
62	0	1 3 9 11
63	0	0 2 8 10
64	0	4 5 6 7
